place_id,display_na,name,osm_id,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
198756612,"Suzhou City, Jiangsu, China",Suzhou City,4430941,,,,,,,,,,,
388586469,"Yangzhou City, Jiangsu, China",Yangzhou City,4430826,,,,,,,,,,,
393651261,"Anqing, Anhui, China",Anqing,3220387,,,,,,,,,,,
378567506,"Changzhou, Jiangsu, China",Changzhou,3429666,,,,,,,,,,,
199372702,"Chizhou, Anhui, China",Chizhou,3164669,,,,,,,,,,,
225378751,"Chuzhou, Anhui, China",Chuzhou,3231588,,,,,,,,,,,
197536454,"Hangzhou City, Zhejiang, China",Hangzhou City,3221112,,,,,,,,,,,
382922811,"Hefei, Anhui, China",Hefei,3288965,,,,,,,,,,,
378239909,"Huzhou, Zhejiang, China",Huzhou,3149738,,,,,,,,,,,
380828323,"Jiaxing, Zhejiang, China",Jiaxing,3308626,,,,,,,,,,,
199020329,"Jinhua, Zhejiang, China",Jinhua,3411720,,,,,,,,,,,
196947334,"Ma'anshan, Anhui, China",Ma'anshan,3260816,,,,,,,,,,,
198941382,"Nanjing, Jiangsu, China",Nanjing,2131524,,,,,,,,,,,
197160785,"Nantong, Jiangsu, China",Nantong,4430899,,,,,,,,,,,
198076647,"Ningbo, Zhejiang, China",Ningbo,3478607,,,,,,,,,,,
197842381,"Shaoxing, Zhejiang, China",Shaoxing,3316522,,,,,,,,,,,
198337887,"Taizhou, Zhejiang, China",Taizhou,3477550,,,,,,,,,,,
379986958,"Taizhou, Jiangsu, China",Taizhou,4430874,,,,,,,,,,,
198173268,"Tongling, Anhui, China",Tongling,3077734,,,,,,,,,,,
391115975,"Wuxi City, Jiangsu, China",Wuxi City,4430942,,,,,,,,,,,
199287708,"Wuhu, Anhui, China",Wuhu,3262036,,,,,,,,,,,
196981756,"Xuancheng, Anhui, China",Xuancheng,3222248,,,,,,,,,,,
197542468,"Yancheng City, Jiangsu, China",Yancheng City,3473496,,,,,,,,,,,
199229320,"Zhenjiang, Jiangsu, China",Zhenjiang,3429680,,,,,,,,,,,
199023026,"Zhoushan, Zhejiang, China",Zhoushan,3308121,,,,,,,,,,,
230670759,"Shanghai, China",Shanghai,913067,,,,,,,,,,,
