city_name,community_id3
"Suzhou City, Jiangsu, China",2
"Yangzhou City, Jiangsu, China",2
"Anqing, Anhui, China",0
"Changzhou, Jiangsu, China",2
"Chizhou, Anhui, China",0
"Chuzhou, Anhui, China",0
"Hangzhou City, Zhejiang, China",1
"Hefei, Anhui, China",0
"Huzhou, Zhejiang, China",1
"Jiaxing, Zhejiang, China",1
"Jinhua, Zhejiang, China",1
"Ma'anshan, Anhui, China",0
"Nanjing, Jiangsu, China",0
"Nantong, Jiangsu, China",2
"Ningbo, Zhejiang, China",1
"Shaoxing, Zhejiang, China",1
"Taizhou, Zhejiang, China",1
"Taizhou, Jiangsu, China",2
"Tongling, Anhui, China",0
"Wuxi City, Jiangsu, China",2
"Wuhu, Anhui, China",0
"Xuancheng, Anhui, China",0
"Yancheng City, Jiangsu, China",2
"Zhenjiang, Jiangsu, China",2
"Zhoushan, Zhejiang, China",1
"Shanghai, China",1
